"","year","month","fips_code","n"
"775",2017,"February",40119,3
"776",2017,"February",40131,2
"777",2017,"February",40143,6
"778",2017,"February",41005,2
"779",2017,"February",41019,3
"780",2017,"February",41027,3
"781",2017,"February",41039,4
"782",2017,"February",41047,5
"783",2017,"February",41051,29
"784",2017,"February",41057,2
"785",2017,"February",41059,4
"786",2017,"February",42003,17
"787",2017,"February",42029,2
"788",2017,"February",42041,2
"789",2017,"February",42043,3
"790",2017,"February",42045,3
"791",2017,"February",42049,2
"792",2017,"February",42055,2
"793",2017,"February",42075,2
"794",2017,"February",42091,2
"795",2017,"February",42095,5
"796",2017,"February",42101,46
"797",2017,"February",42133,2
"798",2017,"February",44005,8
"799",2017,"February",44007,3
"800",2017,"February",45003,6
"801",2017,"February",45013,5
"802",2017,"February",45019,12
"803",2017,"February",45045,9
"804",2017,"February",45063,2
"805",2017,"February",45079,7
"806",2017,"February",45091,4
"807",2017,"February",46103,5
"808",2017,"February",47001,8
"809",2017,"February",47037,21
"810",2017,"February",47065,3
"811",2017,"February",47093,14
"812",2017,"February",47149,3
"813",2017,"February",47157,7
"814",2017,"February",47179,2
"815",2017,"February",47187,6
"816",2017,"February",48029,7
"817",2017,"February",48043,3
"818",2017,"February",48061,2
"819",2017,"February",48085,2
"820",2017,"February",48113,16
"821",2017,"February",48141,4
"822",2017,"February",48181,2
"823",2017,"February",48201,19
"824",2017,"February",48309,5
"825",2017,"February",48347,2
"826",2017,"February",48439,5
"827",2017,"February",48453,35
"828",2017,"February",49035,17
"829",2017,"February",49057,2
"830",2017,"February",50003,2
"831",2017,"February",50007,4
"832",2017,"February",50011,3
"833",2017,"February",50021,5
"834",2017,"February",50023,8
"835",2017,"February",50025,3
"836",2017,"February",51087,5
"837",2017,"February",51121,3
"838",2017,"February",51153,2
"839",2017,"February",51191,4
"840",2017,"February",51540,10
"841",2017,"February",51600,2
"842",2017,"February",51760,4
"843",2017,"February",51770,2
"844",2017,"February",51800,4
"845",2017,"February",51810,3
"846",2017,"February",51830,3
"847",2017,"February",53005,5
"848",2017,"February",53007,8
"849",2017,"February",53009,2
"850",2017,"February",53011,3
"851",2017,"February",53031,2
"852",2017,"February",53033,13
"853",2017,"February",53053,5
"854",2017,"February",53057,3
"855",2017,"February",53061,2
"856",2017,"February",53063,3
"857",2017,"February",53067,6
"858",2017,"February",53073,13
"859",2017,"February",54011,3
"860",2017,"February",54039,6
"861",2017,"February",54067,2
"862",2017,"February",55009,2
"863",2017,"February",55025,2
"864",2017,"February",55079,15
"865",2017,"February",55085,2
"866",2017,"February",55105,3
"867",2017,"February",56033,4
"868",2017,"February",56039,3
"869",2017,"February",NA,9
"870",2017,"March",1073,2
"871",2017,"March",1089,2
"872",2017,"March",1101,4
"873",2017,"March",2020,2
"874",2017,"March",4003,8
"875",2017,"March",4013,13
"876",2017,"March",4019,27
"877",2017,"March",4025,2
"878",2017,"March",5051,3
"879",2017,"March",5119,2
"880",2017,"March",5123,3
"881",2017,"March",5143,2
"882",2017,"March",6001,18
"883",2017,"March",6013,3
"884",2017,"March",6019,10
"885",2017,"March",6029,2
"886",2017,"March",6037,63
"887",2017,"March",6055,5
"888",2017,"March",6059,13
"889",2017,"March",6065,5
"890",2017,"March",6067,6
"891",2017,"March",6071,2
"892",2017,"March",6073,41
"893",2017,"March",6075,16
"894",2017,"March",6079,4
"895",2017,"March",6083,2
"896",2017,"March",6085,27
"897",2017,"March",6111,5
"898",2017,"March",8013,9
"899",2017,"March",8031,26
"900",2017,"March",8041,3
"901",2017,"March",8043,2
"902",2017,"March",8067,2
"903",2017,"March",8069,8
"904",2017,"March",8077,2
"905",2017,"March",8083,5
"906",2017,"March",8097,2
"907",2017,"March",8107,2
"908",2017,"March",9001,9
"909",2017,"March",9003,7
"910",2017,"March",10003,5
"911",2017,"March",11001,74
"912",2017,"March",12001,4
"913",2017,"March",12011,2
"914",2017,"March",12021,7
